Eromanga-sensei,"Gokou, Hinata"
,
Fairy Tail (2014),Zera
,
Fairy Tail OVA (2016),Zera
,
Fairy Tail: Final Series,Zera
,
Fate/Prototype,"Sajou, Ayaka"
,
Fractale,Nessa
,
Freezing,"Linchen, Rana"
,
Freezing Specials,"Linchen, Rana"
,
Freezing Vibration,"Linchen, Rana"
,
Freezing Vibration Specials,"Linchen, Rana"
,
Fuusen Inu Tinny 2nd Season,Kaitou Nitty
,
Fuusen Inu Tinny: Nandaka Fushigi na - Kyouryuu no Kuni,Kaitou Nitty
,
Gabriel DropOut,"Shiraha Ainsworth, Raphiel"
,
Gabriel DropOut Specials,"Shiraha Ainsworth, Raphiel"
,
Gatchaman Crowds Insight,Gelsadra
,
Getsumen To Heiki Mina,"Hazemi, Nakoru"
,
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"von Mariendorf, Hildegard"
,
Gleipnir,"Aoki, Erena"
,
Go! Go! Kadendanshi,Dryanna
,
Go! Go! Kadendanshi 2nd Season,Dryanna
,
Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,Pumplulu Princess
,
Godzilla 1: Kaijuu Wakusei,"Tani, Yuuko"
,
Godzilla 2: Kessen Kidou Zoushoku Toshi,"Tani, Yuuko"
,
Granblue Fantasy The Animation,Zeta
,
Guilty Crown,"Samukawa, Yahiro"
,
Guilty Crown: Kiseki - Reassortment,"Shinomiya, Ayase"
,
Gunslinger Girl: Il Teatrino,Angelica
,
Gunslinger Girl: Il Teatrino OVA,Angelica
,
Hagure Yuusha no Aesthetica,"Doumoto, Kuzuha"
,
Hagure Yuusha no Aesthetica: Hajirai Ippai,"Doumoto, Kuzuha"
,
Happy Sugar Life,"Matsuzaka, Satou"
,
Hataraku Saibou (TV),Sekkekkyuu AE3803
,
Hataraku Saibou: Kaze Shoukougun,Sekkekkyuu AE3803
,
Henkei Shoujo,Itsuki
,
HenSemi,"Matsutaka, Nanako"
,
HenSemi (TV),"Matsutaka, Nanako"
,
Hifuu Katsudou Kiroku: The Sealed Esoteric History,"Hearn, Maribel"
,
Housekishou Richard-shi no Nazo Kantei,"Tanimoto, Shouko"
,
Ibara no Ou,"Ishiki, Kasumi"
,
Infini-T Force,"Lynn, Belle"
,
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,Inu-kun
,
Inu x Boku SS,"Roromiya, Karuta"
,
Inu x Boku SS Special,"Roromiya, Karuta"
,
IS: Infinite Stratos,"Dunois, Charlotte"
,
IS: Infinite Stratos 2,"Dunois, Charlotte"
,
IS: Infinite Stratos 2 - Hitonatsu no Omoide,"Dunois, Charlotte"
,
IS: Infinite Stratos 2 - World Purge-hen,"Dunois, Charlotte"
,
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,"Dunois, Charlotte"
,
Jakusansei Million Arthur,Galahad
,
Joukamachi no Dandelion,"Sakurada, Akane"
,
Junketsu no Maria,Ezekiel
,
Juuou Mujin no Fafnir,"Crest, Firill"
,
Juushinki Pandora,"You, Quinny"
,
Kaichou wa Maid-sama!,"Hanazono, Sakura"
,
Kaichou wa Maid-sama!: Omake dayo!,"Hanazono, Sakura"
,
